Code,Updated name,E1,E2,E3,P,Total reports,FES,References
2218,Russula compacta,4,0,1,0,5,E1,"(Hongo & Izawa, 1994; Mao, 2000; Seok, Jin, Kwon, Kim, & Kim, 2013; Wang, Liu, & Yu, 2004; Wu, et al., 2019)"
2219,Russula compressa,2,0,0,0,2,E1,"(Härkönen, Saarimäki, & Mwasumbi, 1994; Yorou & De-Kesel, 2002)"
2220,Russula congoana,3,0,0,0,3,E1,"(De-Kesel, Codjia, & Yorou, 2002; Härkönen, Saarimäki, & Mwasumbi, 1994; Varghese, Pradeep, & Vrinda, 2010)"
2221,Russula consobrina,1,0,0,0,1,E1,"(Vasil'eva, 1978)"
2222,Russula cremeoavellanea,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2223,Russula crustosa,5,0,0,0,5,E1,"(Chang & Mao, 1995; Hongo & Izawa, 1994; Mao, 2000; Wang & Liu, 2002; Wu, et al., 2019)"
2224,Russula cyanoxantha,26,0,2,0,28,E1,"(Ao, Seb, Ajungla, & Deb, 2016; Bouriquet, 1970; Cooke, 1891; Gennari, 2000; Gerhardt, 1994; Gerhardt, 2001; Hongo & Izawa, 1994; Iordanov, Vanev, & Fakirova, 1978; Laessoe & del-Conte, 1996; Locsmándi-Vasas, 1995; Martínez, Oria-de-Rueda, & Martínez, 1997; Martins, 2004; Montoya-Esquivel, Estrada-Torres & Juarez-Sanchez, 2001; Phengsintham, Souvvanasane, & Keokaen, 2018; Podgornik, 2005; Rammeloo & Walleyn, 1993; Reudillh, 2004; Sáenz, Lizano, & Nassar, 1983; Secretariat of Environment and Natural Resources, 2020; Sergeeva, 2000; Villarreal & Perez-Moreno, 1989a; Wang, Liu, & Yu, 2004; Wu, et al., 2019; Yamada, 2002; Zerova & Rozhenko, 1988)"
2225,Russula cyclosperma,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
2226,Russula decolorans,4,0,1,0,5,E1,"(Gerhardt, 2001; Mao, 2000; Sergeeva, 2000; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2227,Russula delica,19,0,2,0,21,E1,"(Adhikari & Durrieu, 1996; Ahmad, Iqbal, & Khalid, 1997; Chang & Mao, 1995; El'chibaev, 1964; Flores, 2002; Gennari, 2000; Gerhardt, 2001; Hongo & Izawa, 1994; Jones, Whalley, & Hywel-Jones, 1994; Locsmándi-Vasas, 1995; Mao, 2000; Ministry of Forestry, 2020; Montoya-Esquivel, Estrada-Torres, Kong, & Juarez-Sanchez, 2001; Purkayastha & Chandra, 1985; Rammeloo & Walleyn, 1993; Sergeeva, 2000; Vasil'eva, 1978; Wu, et al., 2019; Yamada, 2002; Yilmaz, Oder, & Isiloglu, 1997; Zerova & Rozhenko, 1988)"
2228,Russula densifolia,8,1,1,4,14,E2,"(Chen, Yang, Bau, & Li, 2016; Gerhardt, 2001; Hongo & Izawa, 1994; Jones, Whalley, & Hywel-Jones, 1994; Li, Yang, Chen, Song, & Deng; Liu & Yang, 1982; Mao, 2000; Purkayastha & Chandra, 1985; Villarreal & Perez-Moreno, 1989a; Wang, Liu, & Yu, 2004; Wu, et al., 2019; Yamada, 2002)"
2229,Russula depallens,2,0,0,0,2,E1,"(Mao, 2000; Wu, et al., 2019)"
2230,Russula diffusa,1,0,0,0,1,E1,"(Degreef, Malaisse, Rammeloo, & Baudart, 1997)"
2231,Russula earlei,0,0,1,0,1,E3,"(Hongo & Izawa, 1994)"
2232,Russula eburneoareolata,1,0,1,0,2,E1,"(Hongo & Izawa, 1994; Sillitoe, 1995)"
2233,Russula emetica,4,0,2,12,18,U,"(Chang & Mao, 1995; Chen, Yang, Bau, & Li, 2016; Gennari, 2000; Hall, Buchanan, Wang, & Cole, 1998; Hongo & Izawa, 1994; Hossain & Park, 2016; Iordanov, Vanev, & Fakirova, 1978; Laessoe & del-Conte, 1996; Liu & Yang, 1982; Locsmándi-Vasas, 1995; Mao, 2000; Vasil'eva, 1978; Wu, et al., 2019; Zamora-Martinez, Alvardo, & Dominguez, 2000; Zang, 1984; Zerova & Rozhenko, 1988)"
2234,Russula emeticicolor,1,0,0,0,1,E1,"(Galli, 1996)"
2235,Russula exalbicans,4,0,0,0,4,E1,"(Gerhardt, 2001; Mao, 2000; Seok, Jin, Kwon, Kim, & Kim, 2013; Wu, et al., 2019)"
2236,Russula faginea,2,0,0,0,2,E1,"(Mao, 2000; Wu, et al., 2019)"
2237,Russula farinipes,2,0,1,0,3,E1,"(Mao, 2000; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2238,Russula faustiana,1,0,0,0,1,E1,"(Galli, 1996)"
2239,Russula favrei,1,0,0,0,1,E1,"(Consiglio & Papetti, 2009)"
2240,Russula fellea,1,0,1,1,3,E1,"(Laessoe & del-Conte, 1996; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2241,Russula firmula,0,0,1,0,1,E3,"(Zerova & Rozhenko, 1988)"
2242,Russula flavida,0,0,1,0,1,E3,"(Hongo & Izawa, 1994)"
